"आजचा दिवस खूपच exhausting होता. Study load खूप जास्त आहे, आणि मला एकच विषयावर ध्यान केंद्रित करायला त्रास होतो. मी एकाच विषयावरून दुसऱ्या विषयाकडे जात असतो, आणि असं वाटतं की प्रगती काहीच नाही होऊ शकत. आज marketing च्या नोट्स रिव्ह्यू करायला होत्या, पण दुसऱ्या गोष्टीमध्ये distract झाले. असं वाटतं की करायचं खूप काही आहे आणि वेळ कमी आहे. Exam साठी वेळेवर तयारी नाही होईल, याची चिंता मला खूप होत आहे, आणि हे मला खूप drain करतं. मला माहित आहे की थोडा break घेऊन relax होणं गरजेचं आहे, पण जेव्हा त्यासाठी वेळ काढण्याचा प्रयत्न करते, तेव्हा माझं mind धावू लागते, आणि ज्या गोष्टी अजून शिकायच्या आहेत त्याच विचारांमध्ये हरवले जातं. आशा आहे की उद्या काहीतरी चांगलं होईल.
"आज काही कळत नाहीये, पण दिवसभर खूप frustrating वाटलं. अगदी छोट्या-छोट्या गोष्टींनी irritation आलं. एक classmate चुकून माझं toolbox खाली पाडलं, आणि काही कळायच्या आधीच मी त्याच्यावर जोरात बोलून गेलो. नंतर guilt वाटलं, पण त्या क्षणी patience direct zero झाली. हे सध्या खूप वेळा होतंय, आणि मला ते अजिबात आवडत नाही. मी आधी असा नव्हतो. कदाचित मी थकलोय, किंवा काहीतरी वेगळंच चालू आहे जे मला समजत नाहीये. बस, हे असं react करायचं थांबवायचंय मला.
",15
"आज दिवस खरंच चांगला गेला. कधी-कधी असं वाटतं की हे moments rare असतात. काही तास workshop मध्ये घालवले, एक जुना engine repair करत होतो, आणि त्यातच पूर्ण बुडून गेलो. अशा वेळी सगळं काही बाजूला राहतं—फक्त मी, माझं काम, आणि समोर असलेली machine. हे feeling मला खूप आवडतं. कॉलेज संपल्यावर friends सोबत एक long bike ride केली, आणि ते refreshing वाटलं. वारा, speed, मोकळे रस्ते—हे सगळं मला free feel करायला लावतं. जर रोज असे दिवस असते तर किती भारी झालं असतं ना!
",0
"आज सकाळी उठल्यापासूनच विचित्र वाटत होतं, जसं काहीतरी वाईट होणार आहे. काही कारण नव्हतं, पण तो feeling काही जात नव्हता. Classes असो, lunch असो, काही केलं तरी ते मनातून जात नव्हतं. सतत worst-case scenarios डोक्यात येत होते—exams fail झाले तर? घरच्यांना काही झालं तर? Project mess up केला तर? हे सतत विचार करणं exhausting वाटतंय. स्वतःला distract करायचा प्रयत्न केला, पण काही फायदा नाही. हे constant चिंता वाटणं खरंच त्रासदायक आहे.",16
"आजचा दिवस ठीकठाक गेला. Classes manageable होत्या, आणि assignments वर पण थोडं काम advance मध्ये केलं. संध्याकाळी friends सोबत football खेळलो, आणि surprisingly, आज काहीही overthink केलं नाही. फक्त धावणं, पास करणं, goal करणं—त्या क्षणी फक्त तेच महत्वाचं होतं. Physical activity मुळे डोकं हलकं वाटतं, हे किती strange आहे ना? कदाचित हे रोजच्या routine मध्ये add करायला हवं. मला असेच आणखी दिवस हवेत, जेव्हा कसलेही unwanted विचार किंवा emotions डोक्यात येणार नाहीत.
",0
"आणखी एक rough day. आज पुन्हा छोट्या-छोट्या गोष्टींवर चिडायला लागलो. एक मित्राने माझं wrench घेतलं आणि वेळेवर परत दिलं नाही, आणि direct माझं patience सुटलं. मला कळत होतं की मी overreact करतोय, पण controlच होत नाहीये. माझा temper दिवसेंदिवस खराब होत चाललाय, आणि याचा परिणाम relationships वर होतोय. मला कुणालाही दूर ढकलायचं नाहीये, पण कधी कधी असं वाटतं की माझ्या डोक्यात नेमकं काय सुरू आहे हे कोणालाच समजत नाही… आणि प्रॉब्लेम म्हणजे मलाही समजत नाहीये. कसं तरी शांत राहायला शिकलं पाहिजे.",15
"आजचा दिवस फक्त स्वतःला busy ठेवण्यात गेला. जितका कमी विचार करायला वेळ मिळेल, तितकंच चांगलं. संध्याकाळभर garage मध्ये होतो, एक bike engine fix करत. Problem-solving मध्ये एक वेगळंच satisfaction असतं, जसं काही control हातात आहे. Machines ना ना तुम्हाला judge करायचं असतं, ना argument करायचं, ना disappointment द्यायचं. तुम्ही त्यांना fix करा, आणि त्या काम करतात. लोक पण एवढे simple असते तर किती बरं झालं असतं. बहुतेक मी जास्त वेळ इथे घालवायला हवा—हे एकमेव ठिकाण आहे जिथे माझ्या मनाला खरंच शांत वाटतं.
",0
"काय माहित, पण आज दिवसभर मनात एक अजब भीती बसली होती. असं वाटत होतं जणू माझं brain सतत काहीतरी वाईट होईल याचीच वाट बघतंय. सगळं नॉर्मल असताना पण डोक्यात विचारच सुरू—काहीतरी बिघडलं तर? Exams खराब गेले तर? आई-बाबांची अपेक्षा पूर्ण करू शकलो नाही तर? हे विचार काही थांबायचं नाव घेत नाहीत. खूप exhausting feel होतं, पण हे बंद करायचं तरी कसं? कधी कधी वाटतं की जर मेंदूला off-switch असता तर किती बरं झालं असतं.
",16
"आज काही खास घडलं नाही. Classes ठीक होत्या, workshop पण व्यवस्थित झालं, आणि सगळ्यात मोठी गोष्ट—माझं restless feeling आज जरा कमी झालं. शांतपणे कामावर focus करता आलं, विचारा-विचारीत उगाच मन अडकून राहिलं नाही. किती funny आहे ना? साधा, काहीही special नसलेला दिवससुद्धा किती मोठा relief वाटतोय. ना frustration, ना overthinking—फक्त normal feel झालं. हे पण एक achievementच आहे.",0
"आज परत माझं patience सुटलं. एक professor ने माझ्या project मध्ये झालेली एक चूक दाखवली, आणि मी feedback म्हणून accept करण्याऐवजी चिडलो. मी काही उद्धट बोललो नाही, पण आतून frustration वाढत चाललं होतं. असं का feel होतंय? माझ्या emotions सतत एका किनारीवर असतात, जसं कधीही फुटून बाहेर येतील. मला हे control करायला शिकायचंय, पण सुरुवात तरी कुठून करू?
",15
"आज एक long bike ride केली. कुठे जायचं, का जायचं, याचं काही कारण नव्हतं—फक्त मी, माझी bike, आणि रस्ता. खूप peaceful वाटलं. जितकं जास्त चालवत गेलो, तितकं डोकं हलकं होत गेलं. कदाचित ही माझी escape करण्याची पद्धत आहे, पण जर याने मन शांत राहत असेल, तर मग काही फरक पडत नाही. फक्त हे feeling कायम असावं असं वाटतं, असं काही मोजक्या क्षणांपुरतं नको.
",0
"आज पुन्हा एक दिवस जिथे माझे विचार मला शांत बसू देत नव्हते. सतत वाटत राहिलं—career mess केला तर? मी माझ्या goal साठी पुरेसा capable नसेल तर? माझा मेंदू का सतत स्वतःवर doubt घेतो? माहीत आहे की मला वर्तमानावर focus करायला पाहिजे, पण बोलायला जितकं सोपं वाटतं, तेवढं करायला नाही. कधीतरी स्वतःवर विश्वास ठेवता आला असता, तर किती बरं झालं असतं.
",16
"वाईट दिवस नव्हता. माझ्या project वर काही काम केलं, आणि एका मित्रालाही मदत केली. Productivity without overthinking—हे combination खूप rare आहे, पण आज ते जमलं. Irritated झालो नाही, उगाच फालतू विचार सुद्धा नाही. कदाचित आजचा दिवस ""success"" म्हणून mark करायला हवा. फक्त हे repeat कसं करायचं, हे अजून कळत नाही.
",0
"माहित नाही का, पण आज पूर्ण दिवस restless वाटत होतं. छोटी-छोटी गोष्टी खूप annoying वाटत होत्या—slow internet, background मध्ये चालणारा आवाज, लोक कसं बोलतायत ते सुद्धा. जणू सतत एक edge वर होतो, जणू कधीही स्फोट होईल असं. बाहेर काहीच react केलं नाही, पण आतून सगळं energy consume झालं. असं राहायचं नाहीये, पण काही दिवस मी काहीच control करू शकत नाही.
",15
"आज स्वतःला कामात गाडून टाकलं. जितकं कमी विचार करेन, तितकं जास्त शांत वाटतं. कदाचित हीच trick आहे—स्वतःला एवढं busy ठेवायचं, की overthinking ला वेळच मिळू नये. हे permanent solution नाहीये, पण आत्तासाठी तरी एवढंच काम करतंय. बाकी दिवसांपेक्षा आज जरा कमी overwhelming वाटलं, इतकं जरी मिळालं तरी ठीक आहे.
",0
"आज एकदम normal दिवस. ना जास्त विचार, ना काही emotion overload. फक्त college, workshop, आणि घर. उद्या ब्रेक घ्यायचा विचार करतोय—एक long ride करावी का? कारण bike वर असताना मला असं वाटत नाही की मी काहीतरी टाळतोय... फक्त free वाटतं. कदाचित एवढंच पुरेसं आहे.
",0
"आज कामावर खूप दमून आलो आहे. एक क्लायंट प्रेझेंटेशन होतं, एक सस्टेनेबल टाऊनशिप प्रोजेक्टवर, आणि ते चांगलं पार पडलं. पण तरीही, माझं मन तिथून उचलतंय—माझं शुगर लेव्हल. आज दोन वेळा चेक केलं, आणि दोन्ही वेळा ते थोडं अप असं होतं. काय झालं, समजत नाही, पण ते थोडं अस्वस्थ करतंय. कदाचित मी जास्त विचार करत असावं, पण असं वाटतं की जर मी यावर अधिक नियंत्रण ठेवले नाही, तर काहीतरी चुकू शकतं.मी नेहमीच माझ्या आहाराबद्दल डीसिप्लिन्ड राहिलो आहे, पण हल्ली असं वाटतं की ते पूर्ण वेळाचं काम बनलंय. प्रत्येक जेवण, प्रत्येक स्नॅक—माझ्या डोक्यात सतत एक गणित सुरू असतं. “आहे का हे योग्य?”, “हे जास्त आहे का?”, “किंवा कमी?” माझ्या ग्लुकोमीटरवरील संख्या माझ्या दिवसाचा पूर्ण ठराव करतात. काश, मी फक्त विचार न करता खाऊ शकलो असतो.आता मला काहीतरी विचित्र हवं आहे. कदाचित ह्या वीकेंडला एक ट्रेक प्लॅन करावा. बाहेर जाऊन फिरायला गेलं की माझं मन थोडं रिलॅक्स होतं.
",12
"आज एका सहकाऱ्याने ऑफिसमध्ये मिठाई आणली. सगळ्यांनी एक तुकडा घेतला आणि झिरझिरी आनंद घेतला, पण मी असे केलं की मला काही नको होतं. पण खरं सांगायचं तर, ते खाल्ल्याबद्दलच्या अपराधीपणाच्या भावनेला मी तोंड देऊ इच्छित नव्हतो.सर्वात वाईट भाग? मला चिडचिड झाली. हे त्यांचं दोष नाही की मला काळजी घ्यावी लागते.दुपारनंतर, मी एक ज्युनियर इंजिनियरवर साइट प्लॅनमधील एक छोटं चुका मुळे चिडून गेलो. ती काही मोठी गोष्ट नव्हती, पण मी खूप ताण घेतला. मला असं चिडून वागायला आवडत नाही. असं वाटतं की माझ्या शुगर लेव्हल्समुळे माझं मूड प्रभावित होतं का? किंवा कदाचित हे फक्त सतत सर्व काही नियंत्रित करायचं आणि त्या दबावाची frustration असावी.
",15
"आज चांगला दिवस होता. मी माझ्या कामावर लक्ष केंद्रित केलं, आणि आश्चर्यकारकपणे, माझं शुगर लेव्हल्स स्थिर होते. कोणतीही अनावश्यक चिंता, कोणतीही frustration—फक्त एक सामान्य दिवस. कदाचित मला स्वतःला आठवण करून द्यावी लागेल की प्रत्येक दिवस संघर्ष असणारच असं नाही.माझ्या वेळात, मी युरोपमध्ये स्मार्ट सिटी कॉन्सेप्ट्सवर रिसर्च सुरू केलं. त्यांच्या इन्फ्रास्ट्रक्चरमध्ये सस्टेनेबिलिटी कशी एकत्र केली जाते, हे खूपच आकर्षक आहे. ते पाहून, इथे काहीतरी त्याचं सारखं काम करण्याची उत्सुकता निर्माण झाली.
",0
"संपूर्ण दिवस एक विचित्र अस्वस्थता होती. काही खास कारण नव्हतं, फक्त एक कायमची चिंता होती. हे frustrating आहे कारण मी नक्कीच सांगू शकत नाही की असं का वाटतं. मागील आठवड्यातले माझे रिपोर्ट्स नॉर्मल होते. माझ्या आहारात काहीही मोठं बदल केलेले नाहीत. मग असं का वाटतं की काहीतरी वाईट होणार आहे?कदाचित हे फक्त माझ्या डोक्यात आहे. कदाचित ज्या complications चा मला डर आहे, त्याचंच अस्तित्व मनात ठराविक वेळेस येतं. काश, मी यावर विचार न करता, त्यापासून सुटून जाऊ शकलो असतो.","12,16"
"आज काम खूप व्यस्त होतं, पण खरंतर मला आज ते आवडलं. आम्ही एका ग्रीन हाऊसिंग प्रोजेक्टसाठी लेआउट फाइनल करत होतो, आणि त्यात इतका व्यस्त झालो की इतर सर्व गोष्टी विसरून गेलो, त्यात माझ्या आरोग्याच्या चिंता पण.अशा दिवसांमुळे मला लक्षात येतं की मी सिव्हिल इंजिनियर का बनलो होतो. लोकांच्या जीवनात सुधारणा घडवणारं स्पेस डिझाइन करणं हे खूप समाधान देणारं असतं.
",0
"आज माझ्या बाबांशी वाद झाला. त्याने साधारणपणे सांगितलं की मला ""माझ्या लाइफस्टाइलबद्दल जास्त काळजी घ्यायला हवी"" असं. माहीत आहे की त्याचा हेतू चांगला होता, पण मी सगळं योग्य करत आहे—रेग्युलर चेकअप्स, आहार नियंत्रण, व्यायाम. तरीही, त्याचं टिप्पणी मला खूप irritate केलं.जेव्हा लोक assume करतात की तुम्ही careless आहात फक्त म्हणून की तुम्हाला डायबिटीज आहे, तेव्हा खूप थकल्यासारखं वाटतं. खरंतर, मी माझ्या आरोग्याबद्दल एका सामान्य व्यक्तीपेक्षा जास्त विचार करतो.
",15
"शेवटी त्या ट्रेकला गेलो! ताजं हवे, चढाई, शिखरावरून दिसणारं दृश्य—हे सगळं मला अगदी हवं होतं. काही तासांसाठी, मी फक्त डायबिटीज असलेला माणूस नव्हतो. मी फक्त मी होतो.कोणतेही ग्लुकोज चेक्स, कोणतेही जास्त विचार, फक्त ट्रेकिंगचा थ्रिल. अशा दिवसांमुळे असं वाटतं की मी अजूनही सर्व काही नियंत्रित करू शकतो.
",0
"आज काम खूप गडबड होतं, आणि मी संपूर्ण दिवस तणावात होतो. प्रत्येक छोटी गोष्ट मला irritate करत होती—ऑफिसमधला आवाज, धीमे उत्तर, अगदी माझा लॅपटॉप काही सेकंदांसाठी फ्रिज झाल्यावरसुद्धा. असं वाटणं मला नक्कीच आवडत नाही.दुपारी मी शुगर लेव्हल्स चेक केल्या, आणि त्या थोड्या जास्त होत्या. कदाचित त्यामुळेच मी इतका irritate झालो. किंवा कदाचित मी फक्त थकलेलो आहे. काहीही असो, मला फक्त थोडं शांततेची गरज आहे.
",15
"आणखी एक सामान्य दिवस, धन्यवाद. काही विशेष चिंता नाही, काही irritability नाही—फक्त एक साधा, प्रोडक्टिव्ह वर्कडे. एका नवीन अर्बन डिझाइन प्रस्तावासाठी एक तपशीलवार विश्लेषण पूर्ण केलं. आरोग्याच्या चिंतेपासून बाहेर काहीतरी फोकस करायला खूप चांगलं वाटलं.माझ्या आयुष्यात असलेले अधिक असेच दिवस पाहिजे.
",0
"माझ्या मनात काहीतरी विचित्र भीती होती संपूर्ण संध्याकाळी. कामावर ठीक होतो, पण घरी आल्यानंतर, माझ्या मनात विचार सुरू झाले—""जर माझं शुगर रात्री अचानक कमी झालं तर? जर मी उठलोच नाही तर?"" माहीत आहे की हे अनार्जक वाटतं, पण भीती खरी होती.माझं ग्लुकोज चेक करावं लागलं, फक्त शांत होण्यासाठी. ते नॉर्मल होतं. तरीही, असं वाटतं होतं की काहीतरी वाईट होईल. माझ्या मेंदूने असं माझ्या सोबत वागायला मला आवडत नाही.
","12,16"
"आज एक सहकाऱ्यावर चिडलो. त्याने एक जोक केला की मी नेहमी ""माझ्या जेवणाचा गणित करतो."" माहीत आहे की त्याचा काहीही वाईट हेतू नव्हता, पण तरीही मला irritation झालं. मला थकलंय लोकांचं casual remarks ऐकून, जे समजत नाहीत की हेल्दी राहण्यासाठी किती मेहनत घ्यावी लागते.कदाचित मी जास्त प्रतिक्रिया दिली. पण काही दिवस, हे खरंच मनाला लागून जातं.
",15
"एक तटस्थ दिवस. काम, घर, रोजचं routine. काही अतिरिक्‍त भावना नाहीत, काही अनावश्यक विचार नाहीत. काश, सर्व दिवस इतके साधे असते.
",0
"आज एक छोटासा धक्का बसला. कन्स्ट्रक्शन साईटवर मला चक्कर आली, आणि काही क्षणासाठी मी पॅनिक होऊन गेलो. माझं शुगर होतं का? की हीटमुळे? की काही वाईट गोष्ट होती?तत्काळ मी माझे शुगर लेव्हल्स चेक केले. ते थोडे कमी होते, पण काहीतरी चिंताजनक नव्हतं. काही खाल्लं, थोडं बसलो, आणि काही मिनिटांत मला आराम वाटला. पण त्या छोट्या वेळेस, माझं मन सर्वात वाईट गोष्टीकडे धावून गेलं.मला हे आवडत नाही की मी सतत काही वाईट घडण्याची वाट पाहत असतो.
","12,16"
"आज एक छोटासा धक्का बसला. कन्स्ट्रक्शन साईटवर मला चक्कर आली, आणि काही क्षणासाठी मी पॅनिक होऊन गेलो. माझं शुगर होतं का? की हीटमुळे? की काही वाईट गोष्ट होती?तत्काळ मी माझे शुगर लेव्हल्स चेक केले. ते थोडे कमी होते, पण काहीतरी चिंताजनक नव्हतं. काही खाल्लं, थोडं बसलो, आणि काही मिनिटांत मला आराम वाटला. पण त्या छोट्या वेळेस, माझं मन सर्वात वाईट गोष्टीकडे धावून गेलं.मला हे आवडत नाही की मी सतत काही वाईट घडण्याची वाट पाहत असतो.
",15
"शेवटी, एक चांगला दिवस. एक प्रोजेक्ट यशस्वीरित्या पूर्ण केला आणि स्वतःला एक छान जेवण दिलं (हो, माझ्या डाएटच्या मर्यादेत, नक्कीच). दिवस संपवताना ताण, frustration शिवाय खूप चांगलं वाटलं.माझं माहीत आहे की डायबिटीज जाणार नाही, पण कदाचित मी त्यासोबत जसे जीवन जाऊ शकते तसं त्याला माझ्यावर नियंत्रण ठेवू न देता त्यासोबत जगण्याचा मार्ग शोधू शकेन. एक दिवस एक वेळ.
",0
"माहिती नाही का, पण दिवसभर डोक्यात कुठेतरी भीती वाटत राहिली. असं वाटत होतं की काहीतरी वाईट होणार आहे, पण नेमकं काय तेच कळत नव्हतं. कॉलेज अजून त्रासदायक वाटतंय. हे थियरी-heavy subjects समजून घ्यायला जमत नाहीये. फक्त lectures आणि assignments—काहीच practical नाही, काहीच interesting नाही. माझ्या मनासारखं काही बनवता आलं, fix करता आलं तर किती बरं झालं असतं. पण नाही, इथे बसून equations अभ्यास करतोय, जे कधीच उपयोगाला येणार नाहीत. जर fail झालो तर? आणि आयुष्यभर असंच कंटाळवाणं वाटत राहिलं तर?
",16
"आज सगळंच irritating वाटत होतं. प्रोफेसर, noisy classroom, अगदी माझे friends पण. एका मित्राने subjects किती important आहेत हे समजावायचा प्रयत्न केला, आणि मी सरळ बोलून टाकलं – """"हे सगळं real job मध्ये कधी वापरणार आहे का?"""" थोडं जास्त मोठ्यानंच बोललो असावा. सगळे शांत झाले. माहिती नाही का, पण हल्ली छोट्या छोट्या गोष्टींनी खूप चिडचिड होतेय. मला हा अभ्यास नकोसा वाटतोय, पण इतरांना काय दोष द्यायचा? तरीसुद्धा, राहवत नाही. इथून बाहेर पडायचंय…
",15
"भविष्याचा विचार थांबवता येत नाहीये. चांगल्या कंपनीत जॉब मिळाला नाही तर? स्वतःचं workshop सुरू करायचंय, पण पैसे कुठून येणार? विचार थांबतच नाहीत. स्वतःला distract करायचा प्रयत्न केला, F1 races पाहिल्या, पण डोकं तिथंच अडकलंय. मला एक plan तयार करायला पाहिजे, पण सुरुवात कुठून करू?
","15,11"
"परत तोच विचार – काहीतरी वाईट होणार आहे. पण नक्की काय? exams? की हे सगळं शिकण्यातलं न आवडणं? जर वेळ वाया चालला असेल तर? कोणी तरी समजून घ्यावं असं वाटतं, पण लोक फक्त एवढंच सांगतात – """"सगळं ठीक होईल."""" कसं ठीक होईल?
",16
"आज दिवसभर एकच विचार मनात येत होता – मी खरंच यशस्वी होऊ शकेन का? संध्याकाळी बाईक repair करायला घेतली, पण डोकं शांत बसत नव्हतं. मोठ्या कंपनीत जॉब नाही मिळाला तर? आणि आयुष्यभर एखाद्या छोट्या दुकानातच अडकून पडलो तर?
","16,11"
"हल्ली patience कमीच राहिलंय. lecturer thermodynamics वर बोलत होता, पण मला तिथून उठून निघून जायचं होतं. ज्या गोष्टी आवडत नाहीत, त्याच्याशी मी इतका frustrated का होतोय? अगदी canteen मध्ये थोडं जास्त wait करावं लागलं तरी चिडचिड झाली. यावर काहीतरी उपाय शोधायला पाहिजे.
","15,11"
"दिवसभर restless वाटत होतं. काहीतरी off वाटतंय, पण काय तेच कळत नाहीये. आणि वरून एका मित्रावर उगाच राग काढला. नंतर sorry म्हणालो, पण हे असं छोट्या छोट्या गोष्टींवरून संताप येणं नकोसं झालंय.
","16,15"
"परत भीती वाटायला लागलीये. कशाची, माहीत नाही. exam जवळ आल्यामुळे? की असं वाटतंय की मी चुकीच्या field मध्ये अडकलोय म्हणून? बाईकवर फिरायला गेलो, पण काही फरक पडला नाही. काय करावं कळत नाहीये.
","16,11"
"Overthinking सोडता येत नाहीये. मला हवी ती job मिळेल का? की कधीच काही मनासारखं करता येणार नाही? वरून, आज class मध्ये कोणीतरी loud music लावलं आणि मला खूप disturb झालं. इतक्या छोट्या गोष्टींनी चिडचिड का होतेय?","15,11"
"आज दिवसभर असं वाटत होतं की काहीतरी वाईट होणार आहे. Exams? future? कळत नाही, पण chest मध्ये दडपण वाटत होतं. शिवाय overthinking थांबवायचं तरी कसं? फक्त डोकं शांत व्हावं असं वाटतंय.
","16,11"
"माझं डोकं थांबतच नाहीये. Fail झालो तर? माझं स्वप्न कधीच पूर्ण नाही झालं तर? आज group project मध्ये एका मेंबरवर राग काढला. नंतर वाईट वाटलं, पण हल्ली patience राहतच नाहीये.","15,11"
"आज दिवसभर सगळं irritating वाटलं. lecturer, मित्र, रूममधला पसारा – काहीच सहन होत नाहीये. सगळ्यातून सुटका हवी आहे.",15
"परत ती भीती. एक क्षणभरही डोक्यातून जात नाही. काय भीती वाटतेय, हेच कळत नाही. संध्याकाळभर गॅरेजमध्ये बसून होतो. थोडा फरक पडला, पण माहित आहे उद्या परत तसंच होणार.",16
"आज दिवसभर गोंधळलेलो होतो. कधी राग, कधी भीती. एका मिनिटाला कोणावर तरी चिडलो, तर दुसऱ्या मिनिटाला unexplained भीती वाटत होती. माझं मन इतकं unpredictable का झालंय?",16
"आज डोकं एका विचारावरही स्थिर राहत नव्हतं. Grades, career, future—सगळं गोंधळलेलं वाटत होतं. मला फक्त माझ्या passion वर focus करायचंय, पण हे सगळं pressure बाजूला ठेवता येत नाहीये.
",11